3185,Staged procedure for partial or total loss of eyelid: First stage,,
3187,Staged procedure for partial or total loss of eyelid: Subsequent stage,,
3189,"Full thickness eyelid laceration for tumour or injury: Direct repair, Eye tumour excision",,
3190,Holmium laser apparatus (ophthalmic): Hire fee for one or both eyes done in one sitting,,
3191,Blepharoplasty: Upper lid for improvement in function (unilateral),,
3192,Applicable to Medical Scheme Benefits only: Item 3192: If a practitioner performs the procedure in his own facility an excimer laser theatre fee of the indicated amount per minute may be charged,,
3193,"Repair by superior rectus, levator or frontalis muscle operation",,
3195,Ptosis: By lesser procedure e.g. sling operation: Unilateral,,
3196,Diamond knife: Use of own diamond knife during intraocular surgery,,
3197,Ptosis: By lesser procedure e.g. sling operation: Bilateral,,
3198,Excimer laser: Hire fee (per eye),,
3199,Repair of conjunctiva by grafting,,
3200,Repair of lacerated conjunctiva,,
3201,Laser apparatus (ophthalmic): Hire fee for one or both eyes done in one sitting (Not to be used with IOL Master),,
3202,Phako emulsification apparatus: Hire fee,,
3203,Vitrectomy apparatus: Hire fee,,
3204,External ear canal: Removal of foreign body: At rooms,,
3205,"External ear canal: Removal of foreign body: Under general anaesthetic, Removal ear",T,
3206,Microscopic examination of tympanic membrane including microsuction,,
3207,Myringotomy: Unilateral,,
3209,Myringotomy: Bilateral,T,
3211,Unilateral myringotomy with insertion of ventilation tube,,
3212,"Bilateral myringotomy with insertion of unilateral ventilation tube, UMB",,
3213,"Bilateral myringotomy with insertion of bilateral ventilation tube (modifier 0005 not applicable), BMG, MBM, Grommits, M & G, Grommets, Adenoidectomy, BMB",T,
3214,Reconstruction of middle ear ossicles (ossiculoplasty),T,
3215,Meatus atresia: Repair of stenosis of cartilaginous portion,,
3217,Meatus atresia: Congenital,,
3219,Meatus atresia: Removal of osteoma from meatus: Solitary,,
3221,Meatus atresia: Removal of osteoma from meatus: Multiple,,
3223,Percutaneous stimulation of the facial nerve,,
3224,Electroneurography (ENOG),,
3227,Exploration of facial nerve: Exploration of tympanomastiod segment,,
3228,Exploration of facial nerve: Grafting of the tympanomastoid section (including item 3227),,
3229,Facial nerve: Exploration of the labyrinthine segment,,
3230,Exploration of facial nerve: Extratemporal grafting of the facial nerve,,
3232,Exploration of facial nerve: Facio-assessory or facio-hypoglossal anastomosis,,
3233,Labyrinthectomy via the middle ear or mastoid,,
3237,Exploratory tympanotomy,T,
3239,Acoustic neuroma removal translabyrinthine,,
3240,Endolymphatic sac surgery,,
3243,Myringoplasty,,
3244,Fenestration and occulasion of the posterior semicircular canal (FOS) for benign paroxysmal positioning vertigo (BPPV),,
3245,"Functional reconstruction of tympanic membrane, Tympanoplasty",T,
3246,Cochlear implant surgery,,
3248,Otoacoustic emission performed as a screening test,,
3249,Stapedotomy and stapedectomy,,
3250,Otoacoustic emission (high risk patients only),,
3251,Minimal caloric test (excluding consultation fee),,
3252,Bithermal Halpike caloric test (excluding consultation fee),,
3253,Electro-nystagmography for spontaneous and positional nystagmus,,
3254,Video nystagmoscopy (monocular),,
3255,Caloric test done with electronystamography,,
3256,Video nystagmoscopy (binocular),,
3257,Cortical mastoidectomy,,
3258,Otolith repositioning manoeuvre,,
3259,Radical mastoidectomy (excluding minor procedures),,
3260,Computerised static posturography consists of standing a patient on a Piezo-electric platform which tests the vestibular and proprioceptive systems,,
3261,Muscle grafting to mastoid cavity without tympanoplasty,,
3263,Autogenous bone graft to mastoid cavity,,
3264,"Tympanomastoidectomy, Tympanoplasty",,
3265,"Reconstruction of posterior canal wall, following radical mastoid",,
3266,Gentamycin steroids instillation into the middle ear for Meniere's disease (myringotomy and cost of material excluded),,
3267,Major congenital deformity reconstruction of external ear: Unilateral,,
3269,Major congenital deformity reconstruction of external ear: Bilateral,,
3270,Excision of superficial pre-auricular fistula,,
3271,Partial or total reconstruction for congenital or traumatic absence or following tumour excision of external ear,,
3272,Excision of complicated pre-auricular fistula,,
3273,Pure tone audiometry (air conduction),,
3274,Pure tone audiometry (bone conduction with masking),,
3275,Impedance audiometry (tympanometry),,
3276,"Impedance audiometry (stapedial reflex) - no charge for volume, compliance etc.",,
3277,"Speech audiometry: Fee includes speech audiogram, speech reception threshold, discrimination score",,
3278,"Recruitment tests: Inclusive fee (Bekesy, Fowler, etc.)",,
3279,"Domiciliary or nursing home treatment (only applicable where a patient is physically incapable of attending the rooms, and the equipment has to be transported to the patient)",,
3280,Consultation units for specialists in physical medicine when treatment is given (per treatment),,
3281,Ultrasonic therapy,,
3282,Shortwave diathermy,,
3284,Sensory nerve conduction studies,,
3285,Motor nerve conduction studies,,
3287,Spinal joint and ligament injection,,
3288,Epidural injection,,
3289,Multiple injections: First joint,,
3290,Multiple injections: Each additional joint,,
3291,Tendon or ligament injection,,
3292,Aspiration of joint or inter-articular injection,,
3293,Aspiration or injection of bursa or ganglion,,
3294,Paracervical nerve block,,
3295,Paravertebral root block: Unilateral,,
3296,Paravertebral root block: Bilateral,,
3297,Manipulation of spine performed by a specialist in Physical Medicine,,
3298,Spinal traction,,
3299,Manipulation of large joints: Under general anaesthesia,,
3299A,Manipulation of large joints: Under general anaesthesia,,
3300,Manipulation of large joints: Without anaesthetic,,
3301,Muscle fatigue studies,,
3302,Strength duration curve per session,,
3303,Electromyography,,
3304,"All other physical treatments carried out: Complete physical treatment: Specify treatment (For subsequent treatments by a general practitioner, for the same condition within 4 months after initial treatment: A fee for the treatment only, is applicable: See general rules L and M)",,
3305,"Finger, toe",,
3309,"Smith-Petersen or equivalent control, in theatre",,
3311,"Stress studies, e.g, joint",,
3313,"Full length study, both legs",,
3315,Skeletal survey under 5 years,,
3317,Skeletal survey over 5 years,,
3319,Arthrography per joint,,
3320,Introduction of contrast medium or air: ADD,,
3321,"Per region, e.g. cervical, sacral, lumbar coccygeal, one region thoracic",,
3325,Stress studies,,
3329,Scoliosis studies,,
3331,Pelvis (Sacro-iliac or hip joints only to be added where an extra set of view is required),,
3333,Myelography: Lumbar,,
3334,Myelography: Thoracic,,
3335,Myelography: Cervical,,
3336,"Multiple (lumbar, thoracic, cervical): Same fee as for first segment (no additional introduction of contrast medium)",,
3344,Introduction of contrast medium,,
3345,Discography,,
3347,Introduction of contrast medium per disc level: ADD,,
3349,Skull studies,,
3351,Paranasal sinuses,,
3353,Facial bones and/or orbits,,
3355,Mandible,,
3357,Nasal bone (To be billed by surgeons only),,
3359,Mastoid: Bilateral,,
3361,Teeth: One quadrant,,
3363,Teeth: Two quadrants,,
3365,Teeth: Full mouth,,
3366,Teeth: Rotation tomography of the teeth and jaws,,
3367,Teeth: Tempero-mandibular joints: Per side,,
3369,Teeth: Tomography: Per side,,
3371,Localisation of foreign body in the eye,,
3381,Ventriculography,,
3385,Post-nasal studies: Lateral neck,,
3387,Maxillo-facial cephalometry,,
3389,Dacrocystography,,
3391,For introduction of contrast medium: ADD,,
3393,Bowel washout: ADD,,
3395,Sialography (plus 80% for each additional gland),,
3397,Introduction of contrast medium (plus 80% for each additional gland: ADD),,
3399,Pharynx and oesophagus,,
3403,"Oesophagus, stomach and duodenum (control film of abdomen included) and limited follow through",,
3405,Double contrast: ADD,,
3406,Small bowel meal (control film of abdomen included except when part of item 3408),,
3408,"Barium meal and dedicated gastro-intestinal tract follow through (including control film of the abdomen, oesophagus, duodenum, small bowel and colon)",,
3409,Barium enema (control film of abdomen included),,
3411,Air contrast study: ADD,,
3415,Biliary Tract: ERCP own equipment: Choledogram and/or pancreatography screening included,,
3416,Pancreas: ERCP hospital equipment: Choledogram and/or pancreatography screening included,,
3417,Gastric/oesophageal/duodenal intubation control,,
3419,Gastric/oesophageal intubation insertion of tube: ADD,,
3421,Duodenal intubation: Insertion of tube: ADD,,
3423,Hypotonic duodenography (item 3403 and item 3405 included),,
3425,Oral cholecystography,,
3427,Cholangiography: Intravenous,,
3431,Operative cholangiography: First series: ADD item 3607 only when the Radiologist attends personally in theatre,,
3433,Post operative: T-tube,,
3435,Introduction of contrast medium: ADD,,
3437,"Trans hepatic, percutaneous",,
3439,Introduction of contrast medium: ADD,,
3441,Tomography of biliary tract: ADD,,
3443,Larynx (Tomography included),,
3445,Chest (item 3601 included),,
3447,Chest and cardiac studies (item 3601),,
3449,Ribs,,
3451,Sternum or sterno-clavicular joints,,
3453,Bronchography: Unilateral,,
3455,Bronchography: Bilateral,,
3457,Introduction of contrast medium included,,
3461,Pleurography,,
3463,For introduction of contrast medium: ADD,,
3465,Laryngography,,
3467,For introduction of contrast medium: ADD,,
3468,Thoracic inlet,,
3477,"Control films of the Abdomen (not being part of examination for barium meal, barium enema, pyelogram, cholecystogram, cholangiogram etc.)",,
3479,Acute abdomen or equivalent studies,,
3487,Excretory urogram: Control film included and bladder views before and after micturition (intravenous pyelogram) (item 0206 not applicable),,
3493,Waterload test: ADD,,
3497,Cystography only or urethrography only (retrograde),,
3499,Cysto-urethrography: Retrograde,,
3503,Cysto-urethrography: Introduction of contrast medium,,
3505,Retrograde-prograde pyelography,,
3511,Aspiration renal cyst,,
3513,Tomography of renal tract: ADD,,
3515,Pregnancy,,
3517,Pelvimetry,,
3519,Hystero-salpingography,,
3521,Introduction of contrast medium: ADD,,
3536,Dedicated angiography suite: Analogue monoplane unit. Once off charge per patient by owner of equipment,,
3537,Dedicated angiography suite: Digital monoplane unit. Once off charge per patient by owner of equipment,,
3538,Analogue monoplane table with DSA attachment,,
3539,Dedicated angiography suite: Digital bi-plane unit. Once off charge per patient by owner of equipment,,
3545,Venography: Per limb,,
3548,Analogue monoplane screening table,,
3550,Digital monoplane screening table,,
3551,Lymphangiogram per limb (global fee) including lymphatic catheterisation (no machine fee applicable),,
3557,"Catheterisation aorta or vena cava, any level, any route, with aortogram/cavogram, Maxillary angiogram",,
3558,"Translumbar aortic puncture, with full study",,
3559,"Selective first order catheterisation, arterial or venous, with angiogram/venogram, Cerebral Angiogram & Embolization",,
3560,"Selective second order catheterisation, arterial or venous, with angiogram/ venogram",,
3562,"Selective third order catheterisation, arterial or venous, with angiogram/venogram",,
3563,Direct intravenous for limb,,
3564,Direct femoral arterial or venous or jugular venous puncture,,
3566,"Guiding catheter placement, any site arterial or venous, for any intracranial procedure or anteriovenous malformation (AVM), Cerebral Angio",T,
3569,"Intravascular pressure studies, arterial or venous, once off per case",,
3570,"Microcatheter insertion, any cranial vessel and/or pulmonary vessel, arterial or venous (including guiding catheter placement)",,
3572,"Transcatheter selective blood sampling, arterial or venous",,
3574,Spinal angiogram (global fee) including all selective catheterisations,,
3575,Cut-downs for venography: ADD,,
3577,Tomography (conventional except where otherwise specified): ADD 100% provided that if it is more than one dimension fee shall be charged for the additional investigation at 50% of the tariff with a maximum of two additional investigations,,
3579,Tomography (multi-dimensional in motion): ADD 150%,,
3581,Cinematography: For first series: ADD 100%,,
3583,Cinematography: For each series after the first: ADD 80% of the primary fee,,
3592,"Where a fully digital C-arm portable x-ray unit, with angiography/interventional capability is used in hospital or theatre, per half hour",,
3594,Mammogram of surgically removed breast biopsy specimen,,
3596,"Intravascular ultrasound per case, arterial or venous, for intervention",,
3598,Electron beam computed tomography (EBCT) for assessment of coronary artery calcification (complete fee - no additions),,
3599,Electron beam computed tomography (EBCT) of the heart. Total fee for contract examination excluding cost of contrast medium (not to be used for coronary artery calcium assessment or scoring - see item 3598),,
3600,Peripheral bone densitometry utilizing ionizing radiation,,
3601,Fluoroscopy: Per half hour: ADD (not applicable for items 3445 and 3447),,
3602,Where a C-arm portable X-ray unit is used in hospital or theatre: Per half hour: ADD,,
3603,Sinography,,
3604,Bone densitometry (to be charged once only for one or more levels done at the same session),,
3605,"Mammography: Unilateral or bilateral, including ultrasound and doppler ultrasound examination, where necessary. This item may not be used together with an item from the ultrasound section. Note that when an ultrasound of the breast is requested without mammography, item 3629 is used",,
3606,"Repeat mammography, unilateral or bilateral, for localisation of tumour",,
3607,Attendance at operation in theatre or at radiological procedure performed by a surgeon or physician in X-ray department (except item 3309): Per half hour: Plus fee or examination performed (Only to be used by radiological technical staff),,
3608,"Repeat mammography procedure with minimally invasive breast biopsy, core biopsy or fine needle aspiration biopsy utilising dedicated stereotactic equipment with patient in erect or prone position",,
3609,Foreign body localisation: Fee for part examined plus two-thirds for every additional series plus fluoroscopy fee if this is done,,
3610,"Transrectal ultrasonographic prostate volume study for prostate brachytherapy (own equipment), TRUS biopsy, Tur prostate",,
3611,Foreign body localisation: Introduction of sterile needle markers: ADD,,
3612,Ultrasonic bone densitometry,,
3613,Setting of sterile trays,,
3614,Transvaginal aspiration of ova,,
3615,Routine obstetric ultrasound at 10 to 20 weeks gestational age preferable at 10 to 14 weeks gestational age to include nuchal translucency assessment,,
3616,Contrast media: General Rule Y applies,,
3617,Routine obstetric ultrasound at 20 to 24 weeks to include detailed anatomical assessment,,
3618,Pelvic organs ultrasound transabdominal probe (this is a gynaecological ultrasound examination and may not be used in pregnancy),,
3619,"Intravascular ultrasound imaging assesses the atheroschlerotic process to guide the placement of an intracoronary stent. This item may be applied once per vessel (left anterior descending territory, circumflex territory and/or right coronary territory) in which a stent or multiple stents are deployed",,
3620,Cardiac examination plus Doppler colour mapping,,
3621,Cardiac examination (MMode),,
3622,Cardiac examination: 2 Dimensional,,
3623,Cardiac examination + effort,,
3624,Cardiac examinations + contrast,,
3625,Cardiac examinations + doppler,,
3626,Cardiac examination + phonocardiography,,
3627,"Ultrasound examination includes whole abdomen and pelvic organs, where pelvic organs are clinically indicated (including liver, gall bladder, spleen, pancreas, abdominal vascular anatomy, para-aortic area, renal tract, pelvic organs)",,
3628,Renal tract,,
3629,"High definition (small parts) scan: Thyroid, breast lump, scrotum, etc.",,
3631,Ophthalmic examination,,
3632,Axial length measurement and calculation of intra ocular lens power. Per eye. Not to be used with item 3034,,
3633,Neonatal head scan,,
3634,"Peripheral vascular study, B mode only",,
3635,#NAME?,,
3636,"Trans-oesophageal echocardiography including passing the device, TEE (To bill code 2313 if Dr did not have his own machine) (Always to be billed with code 3637 and use C/U)",,
3637,"Colour Doppler (may be added onto any other regional exam, but not to be added to items 3605, 5110, 5111, 5112, 5113 or 5114) (Always to be billed with code 3636 and use C/U)",,
3639,Where portable X-ray unit is used in the hospital or theatre: ADD,,
3640,Theatre investigations with fixed installation,,
3641,Tracer test,,
3642,Repeat of further tracer tests for same investigation: Half of above fee,,
3643,"If both tracer and therapeutic procedures are done, half fee of tracer test to be charged plus therapeutic fee",,
3644,Tracer test of complete body or brain tumour location,,
3645,Other organ scanning with use of relevant radio isotopes,,
3646,Thyroid scanning,,
3731,Blood transfusion (Codes to add: ,T,
4701,Biochemical estimations on muscle biopsy specimens: Creatine kinase,,
4703,Biochemical estimations on muscle biopsy specimens: Adenylate kinase,,
4705,Biochemical estimations on muscle biopsy specimens: Pyruvate kinase,,
4707,Biochemical estimations on muscle biopsy specimens: Lactate dehydrogenase,,
4709,Biochemical estimations on muscle biopsy specimens: Adenylate deaminase,,
4711,Biochemical estimations on muscle biopsy specimens: Phosphoglycerate kinase,,
4713,Biochemical estimations on muscle biopsy specimens: Phosphoglycerate mutase,,
4715,Biochemical estimations on muscle biopsy specimens: Enolase,,
4717,Biochemical estimations on muscle biopsy specimens: Phosphofructokinase,,
4719,Biochemical estimations on muscle biopsy specimens: Aldolase,,
4721,Biochemical estimations on muscle biopsy specimens: Glyceraldehyde 3 phosphate dehydrogenase,,
4723,Biochemical estimations on muscle biopsy specimens: Phosphorylase,,
4725,Biochemical estimations on muscle biopsy specimens: Phosphoglucomutase,,
4727,Biochemical estimations on muscle biopsy specimens: Phosphohexose Isomerase,,
4729,Biochemical estimations on muscle biopsy specimens: Muscle biopsy for muscle tension study,,
4731,H-response study (per nerve),,
4733,F-waves (per nerve),,
4735,Single fibre studies,,
4737,Somatosensory study (limb-spine),,
4739,Biochemical estimations on muscle biopsy specimens: Dystrophin estimation,,
4744,Biochemical estimations on muscle biopsy specimens: Tension/caffeine/halothane procedure in malignant hyperthermia,,
4745,Biochemical estimations on muscle biopsy specimens: Electron microscopy,,
4804,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): Low pressure table (1,5-1,8 ATA x 45-60 min): PROFESSIONAL COMPONENT",,
4805,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): Routine HBO table (2-2,5 ATA x 90-120 min): PROFESSIONAL COMPONENT",,
4806,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): Emergency HBO table (2,5-3 ATA x 90-120 min): PROFESSIONAL COMPONENT",,
4809,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): USN TT5 (2,8 ATA x 135 min): PROFESSIONAL COMPONENT",,
4810,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): USN TT6 (2,8 ATA x 285 min): PROFESSIONAL COMPONENT",,
4811,"Monitoring of a patient at the hyperbaric chamber during hyperbaric treatment (includes pre-hyperbaric assessment, monitoring during treatment, and post treatment evaluation): USN TT6ext/6A or Cx 30 (2,8-6 ATA x 305-490 min): PROFESSIONAL COMPONENT",,
4815,"Prolonged attendance inside a hyperbaric chamber: 40,00 clinical procedure units per half hour or part thereof for the first hour, thereafter 20,00 clinical procedure units per half hour: Minimum 40,00 clinical procedure units; maximum 320,00 clinical procedure units",,
4820,"Low pressure table (1,5-1,8 ATA x 45-60 min): TECHNICAL COMPONENT",,
4821,"Routine HBO table (2-2,5 ATA x 90-120 min): TECHNICAL COMPONENT",,
4822,"Emergency HBO table (2,5-3 ATA x 90-120 min): TECHNICAL COMPONENT",,
4825,"USN TT5 (2,8 ATA x 135 min): TECHNICAL COMPONENT",,
4826,"USN TT6 (2,8 ATA x 285 min): TECHNICAL COMPONENT",,
4827,"USN TT6ext (2,8-6 ATA x 305-490 min): TECHNICAL COMPONENT",,
4828,"USN 6A (2,8-6 ATA x 305-490 min): TECHNICAL COMPONENT",,
4829,"USN Cx 30 (2,8-6 ATA x 305-490 min): TECHNICAL COMPONENT",,
4890,"Endoscopy: Sinus/nasal, with maxillary antrostomy",,
4891,"Endoscopy: Sinus/nasal, with maxillary antrostomy and removal of tissue",,
4892,"Endoscopy: Sinus/nasal, with partial, anterior ethmoidectomy",,
4893,"Endoscopy: Sinus/nasal, with medial or inferior orbital wall decompression",,
4896,"Sinusotomy: Obliterative frontal, with ablation, without osteoplastic flap, brow incision ",,
4897,"Sinusotomy: Obliterative frontal, with ablation, without osteoplastic flap, coronal incision ",,
4898,"Sinusotomy: Obliterative frontal, with osteoplastic flap, brow incision ",,
4899,"Sinusotomy: Obliterative frontal, with osteoplastic flap, coronal incision ",,
4900,"Sinusotomy: Non-obliterative frontal, with osteoplastic flap, brow incision ",,
4901,"Sinusotomy: Non-obliterative frontal, with osteoplastic flap, coronal incision ",,
4963,Excision Lesion Lip,,
4985,Corneal cross linking,,
5002,Percutaneous transluminal angioplasty: Aortic/IVC,,
5003,"R6,67 for each kilometre in excess of 16 kilometres travelled in own car e.g. where a practitioner has to travel 19 kilometres in total to visit a patient, the fees shall be calculated as follows: 19-16=3 X R6,67 = R20,01",,
5004,"Percutaneous transluminal angioplasty, arterial or venous, iliac vessel/subclavian vessel",,
5005,"Normal hours: Specialist: 18,00 clinical procedure units per hour or part thereof",,
5006,"Percutaneous transluminal angioplasty: Femoral to popliteal bifurcation, axillary and brachial",,
5007,"Normal hours: General practitioner: 18,00 clinical procedure units per hour or part thereof",,
5008,Percutaneous transluminal angioplasty: Sub-popliteal sub-brachial,,
5010,Percutaneous transluminal angioplasty: Renal/Visceral/Brachiocephalic,,
5012,Percutaneous transluminal angioplasty: Extracranial Carotid/Vertebral - stand alone procedure,,
5013,Travelling fees are not payable to practitioners who assisted at operations on cases referred to surgeons by them,,
5014,Atherectomy (per vessel) (To be billed by surgeons only),,
5016,Aspiration thrombectomy (per vessel) (To be billed by surgeons only),,
5018,On-table thrombolysis/transcatheter infusion performed in angiography suite,T,
5022,"Embolisation non-intracranial, per vessel, Pelvis venogram, Venous ceiling, Spermatiese venogram",T,
5026,Ultrasound guided amniocentesis,,
5029,Mammotome - stereotaxis: Hand held,,
5030,Percutaneous nephrostomy for further procedure or drainage,T,
5031,Antegrade ureteric stent insertion,T,
5033,Percutaneous cystostomy in radiology suite,,
5034,Fine needle aspiration or biopsy or core biopsy of mamma,,
5035,Urethral balloon dilatation in radiology suite,,
5036,"Percutaneous abdominal/pelvic/other drain insertion, any modality",,
5037,Urethral stenting in radiology suite,,
5038,Intracranial/spinal AVM embolisation (per session),,
5039,Intracranial thrombolysis (on-table) per session,,
5040,"Intracranial aneurysm occlusion, Embolisation",T,
5041,Balloon occlusion/Wada test,,
5042,Carotico/cavernous fistula/head and neck AV fistula embolisation,T,
5043,Intracranial angioplasty,,
5044,Transhepatic portogram,,
5045,Hepatic arterial infusion catheter insertion,,
5046,Percutaneous biliary drainage (external),,
5047,"Combined internal/external biliary drainage, Spermatic Embolisation + Venogram",T,
5048,"Biliary stent insertion, PTC, endo exo tube exchange for biliary stents (Galbladder Cancer)",T,
5049,Percutaneous gall bladder drainage,T,
5050,Percutaneous or renal gall bladder stone removal,,
5058,Stent insertion: Aortic/IVC - including percutaneous transluminal angioplasty (PTA),,
5060,Stent insertion: Iliac/subclavian/AV fistula - including percutaneous transluminal angioplasty (PTA),,
5062,"Stent insertion: Femoral popliteal bifurcation, axillary and brachial - including percutaneous transluminal angioplasty (PTA)",,
5064,Stent insertion: Sub-popliteal - including percutaneous transluminal angioplasty (PTA),,
5066,Stent insertion: Renal/visceral/brachiocephalic - including percutaneous transluminal angioplasty (PTA),T,
5068,Stent insertion: Extracranial carotid/vertebral - including percutaneous transluminal angioplasty (PTA) - stand alone procedure,,
5070,Stent insertion: Aorto-iliac stent graft - including percutaneous transluminal angioplasty (PTA),,
5072,Tunnelled/subcutaneous arterial/venous line performed in radiology suite,,
5074,IVC filter insertion jugular or femoral route,T,
5076,"Intravascular foreign body removal, arterial or venous, any route",,
5078,Percutaneous sclerotherapy of an arteriovenous malformation (AVM),,
5080,Transjugular intrahepatic porto-systemic shunt,,
5082,Transjugular liver biopsy,,
5084,Endoluminal fallopian tube recanalisation,,
5086,Renal cyst aspiration/ablation,,
5088,Oesophageal stent insertion in radiology suite,,
5090,Tracheal stent insertion,,
5091,"GIT balloon dilatation under fluoroscopy, Trigemenal baloon dilation, Removal Esophagus",T,
5092,"Other GIT stent insertion, Removal Esophagus",T,
5093,Percutaneous gastrostomy in radiology suite,,
5094,Cutting needle biopsy with image guidance,,
5095,Chest drain insertion in radiology suite,,
5096,Percutaneous cyst or tumour ablation (non aspiration),,
5097,Vertebroplasty - Introduction of stabilising material under screening or CT control - per level,,
5100,Pelvic organs ultrasound: Transvaginal or trans rectal probe,,
5101,Pleural space ultrasound,,
5102,"Ultrasound of joints (e.g. shoulder, hip, knee), per joint",,
5103,"Ultrasound soft tissue, any region (If doctor does not have his own sonar machine to apply 0083)
Own Ultrasound: C/U x 50c/u = R
Do not have own Ultrasound: C/U x 100 / 3 = R",,
5104,"Ultrasound in pregnancy, multiple gestation, after twenty weeks: plus 30% (Code Discontinued - Bill 3617",,
5106,Obstetric ultrasound before 10 weeks gestational age for complicated pregnancy i.e. suspected ectopic pregnancy abortion or discrepancy between gestational age and dates. Not to be used for routine diagnosis of pregnancy,,
5107,Ultrasound after 24 weeks - motivation required,,
5108,Second opinion obstetric ultrasound may be charged by practitioners accepted by SASOG or RSSA (list of names available from SASOG or RSSA),,
5110,"Carotid ultrasound vascular study: B mode, pulsed and colour Doppler; bilateral study, internal, external and common carotid flow and anatomy",,
5111,"Full ultrasonic and colour Doppler evaluation of entire extracranial vascular tree: Carotids, vertebral and subclavian vessels (not to be used together with items 5110, 5112, 5113 or 5114)",,
5112,"Peripheral arterial ultrasound vascular study: B mode, pulsed and colour Doppler; per limb; to include waveforms at minimum of three levels, pressure studies at two levels and full interpretation of results",,
5113,"Peripheral venous ultrasound vascular study; B mode, pulsed and colour Doppler; to evaluate deep vein thrombosis",,
5114,"Peripheral venous ultrasound vascular study; B mode, pulsed and colour Doppler; in erect and supine position including compression manoeuvres and reflux in superficial and deep systems, bilaterally",,
5115,"Intra-operative ultrasound study, Ultrasound Study - Grion, TEE machine (If doctor has his/her own machine)",,
5117,Diagnostic intravascular ultrasound (IVUS) imaging or wave wire mapping (without accompanying angioplasty). May be used only once per angiographic procedure,,
5118,"Diagnostic intravascular ultrasound imaging or wave wire imaging (with accompanying angioplasty or accompanying intravascular ultrasound imaging or wave wire mapping in a different coronary artery [LAD (left anterior desending), Circumflex or Right coronary artery]). May be used a maximum of twice per angiographic procedure",,
5141,Radiation materials (see modifier 0095),,
5221,Facial nerve: Grafting of labyrinthine segment (graft removal and exploration of labyrinthine segment are included),,
5222,"Facial nerve surgery inside the internal auditory canal (if grafting is required, the grafting and harvesting of graft are included)",,
5223,"Vestibular neurectomy, removal of supra-labyrinthine tumours, or similar procedures",,
5224,Removal of acoustic neuroma via the middle fossa approach,,
5227,Cochleo-vestibular neurectomy,,
5229,"Facial nerve surgery in the internal auditory canal, translabyrinthine (if grafting is required, the grafting and harvesting of graft are included)",,
5232,Removal of acoustic neuroma or cyst of the internal auditory canal,,
5235,"Removal of tumour for the jugular foramen, internal carotid artery, petrous apex and large intratemporal tumours",,
5238,Removal of tumour of the petrous apex,,
5239,Removal of tumour of the clivus,,
5242,Removal of nasopharyngeal angiofibroma or carcinoma,,
5243,"Removal of tumour from the intratemporal fossa, pterygopalatine fossa, parasellar region or nasopharynx",,
5245,Fistel/Squamous cell carcinoma of gingiva and edentulous alveolar ridge,,
5246,Subtotal petrosectomy for removal of temporal bone tumour,,
5247,Subtotal petrosectomy for CSF leak and/or for total obliteration of the mastoid cavity,,
5250,Partial mastoido-tympanectomy for malignancy of the deep lobe of the parotid gland,,
5251,Total mastoido-tympanectomy for more extensive malignancy of the deep lobe of the parotid gland,,
5252,Extended petrosectomy for extensive malignancy of the deep lobe of the parotid gland,,
5369,Doppler arterial pressures,,
5371,Doppler arterial pressures with exercise,,
5373,Doppler segmental pressures and wave forms,,
5375,Venous doppler examination (both limbs),,
5377,Venous plethysmography,,
5379,Supra-orbital doppler test,,
5381,Carotid non-invasive complex tests,,
5441,"Add one (1,00) anaesthetic unit, except where the procedure refers to the bones named in Modifiers 5442 to 5448",,
5442,"Shoulder, scapula, clavicle, humerus, elbow joint, upper 1/3 tibia, knee joint, patella, mandible and tempero-mandibular joint: Add two (2,00) anaesthetic units",,
5443,"Maxillary and orbital bones: Add three (3,00) anaesthetic units",,
5444,"Shaft of femur: Add four (4,00) anaesthetic units",,
5445,"Spine (except coccyx), pelvis, hip, neck of femur: Add five (5,00) anaesthetic units",,
5448,"Sternum and/or ribs and musculo-skeletal procedures which involve an intra-thoracic approach: Add eight (8,00) anaesthetic units",,
5730,Hallux Valgus double osteotomy etc.,M,
5731,Distal soft tissue procedure for Hallux Valgus,M,
5732,Aitkin procedure or similar,T,
5734,Removal bony prominence foot e.g. bunionette (e.g. Bunionette not applicable to COID),M,
5735,Repair angular deformity toe (lesser toes),M,
5736,Sesamoidectomy,M,
5737,Repair major foot tendons e.g. Tib Post,M,
5738,Repair of dislocating peroneal tendons,T,
5739,Forefoot reconstruction for rheumatoid arthritis: Clayton or similar: One foot,M,
5740,Steindler strip - plantar fascia,T,
5741,Kelikian syndactilly (one web space),T,
5742,Tendon transfer foot,T,
5743,Capsulotomy metatarsophalangeal joints: Foot,T,
5750,Reinsertion of instrumentation,M,
5751,Removal of posterior non-segmental instrumentation,M,
